Nome,Tipo,Tamanho,Tendência,PV_médio,PV_dados,CA,Deslocamento,Força,mod_força,Destreza,mod_destreza,Constituição,mod_constituição,Inteligência,mod_inteligência,Sabedoria,mod_sabedoria,Carisma,mod_carisma,Infos,Nível_desafio,XP,Ações,Dano_médio
BRUXA DA NOITE,Corruptor,Médio,neutro e mau,112,15d8 + 45,17,9.0,18.0,4.0,15.0,2.0,16.0,3.0,16.0,3.0,14.0,2.0,16.0,3.0," Perícias Enganação +7, Furtividade +6, Intuição +6, Percepção +6 Resistência a Dano fogo, frio; concussão, perfurante e cortante de armas não-mágicas que não sejam de prata Imunidade a Condição enfeitiçado  Sentidos visão no escuro 36 m, Percepção passiva 16 Idiomas Abissal, Comum, Infernal, Primordial",5,1800.0," Corruptor Médio, neutro e mau  Garras (Forma de Bruxa Apenas). Ataque Corpo-a-Corpo com Arma: +6 para atingir, alcance 1,5 m, um alvo. Acerto: 13 (2d8    + 4) de dano cortante.",13.0
BRUXA DO MAR,Fada,Média,caótico e mau,52,7d8 + 21,14,9.0,16.0,3.0,13.0,1.0,16.0,3.0,12.0,1.0,12.0,1.0,13.0,1.0," Garras. Ataque Corpo-a-Corpo com Arma: +5 para atingir, alcance 1,5 m, um alvo. Acerto: 10 (2d6 + 3) de dano cortante.  Olhar Mortal. A bruxa afeta uma criatura amedrontada que ela possa ver, a até 9 metros dela. Se o alvo puder ver a bruxa, ele deve ser bem sucedido num teste de resistência de Sabedoria CD 11 contra essa magia ou cairá a 0 pontos de vida.  Aparência Ilusória. A bruxa encobre a si mesma e a tudo que ela esteja vestindo ou carregando com uma ilusão mágica que faz com que ela se pareça com uma criatura feia de tamanho similar ao seu e de formato humanoide. O efeito termina se a bruxa usar uma ação bônus para termina-lo ou se ela morrer. As mudanças forjadas por esse efeito falham em se manter durante uma inspeção física. Por exemplo, a bruxa pode parecer não possuir garras, mas alguém que toque a mão dela poderá sentir as garras. Do contrário, uma criatura deve realizar uma ação para inspecionar visualmente a ilusão e passar num teste de Inteligência (Investigação) CD 16 para perceber que a bruxa está disfarçada. Sentidos visão no escuro 18 m, Percepção passiva 11 Idiomas Aquan, Comum, Gigante",2,450.0," Fada Média, caótico e mau  Classe de Armadura 14 (armadura natural) Pontos de Vida 52 (7d8 + 21) Deslocamento 9 m, natação 12 m  FOR 16 (+3) DES 13 (+1) CON 16 (+3) INT 12 (+1) SAB 12 (+1) CAR 13 (+1)  Garras. Ataque Corpo-a-Corpo com Arma: +5 para atingir, alcance 1,5 m, um alvo. Acerto: 10 (2d6 + 3) de dano cortante.",10.0
BRUXA VERDE,Fada,Média,neutro e mau,82,11d8 + 33,17,9.0,18.0,4.0,12.0,1.0,16.0,3.0,13.0,1.0,14.0,2.0,14.0,2.0," Perícias Arcanismo +3, Enganação +4, Furtividade +3, Percepção +4  Sentidos visão no escuro 18 m, Percepção passiva 14 Idiomas Comum, Dracônico, Silvestre",3,700.0," Fada Média, neutro e mau  Garras. Ataque Corpo-a-Corpo com Arma: +6 para atingir, alcance 1,5 m, um alvo. Acerto: 13 (2d8 + 4) de dano cortante.",13.0
BUGBEAR,Humanoide,Médio,caótico e mau,27,5d8 + 5,16,9.0,15.0,2.0,14.0,2.0,13.0,1.0,8.0,-1.0,11.0,0.0,9.0,-1.0,"Perícias Furtividade +6, Sobrevivência +2  Sentidos visão no escuro 18 m, Percepção passiva 10 Idiomas Comum, Goblin Nível de Desafio 1 (200 XP) Ataque Surpresa. Se o bugbears surpreender uma criatura e atingi-la com um ataque durante a primeira rodada de combate, o alvo sofre 7 (2d6) de dano extra nesse ataque.  Brutamontes. Um ataque corpo-a-corpo com arma causa um dado extra de dano quando o bugbears atinge com ele (incluso no ataque).  AÇÕES Maça Estrela. Ataque Corpo-a-Corpo com Arma: +4 para atingir, alcance 1,5 m, um alvo. Acerto: 11 (2d8 + 2) de dano perfurante.  Azagaia. Ataque Corpo-a-Corpo ou à Distância com Arma: +4 para atingir, alcance 1,5 m ou distância 9/36 m, um alvo. Acerto: 9 (2d6 + 2) de dano perfurante corpo-a-corpo ou 5 (1d6 +2) de dano perfurante à distância.                              BUGBEAR COMANDANTE Humanoide Médio (goblinoide), caótico e mau Classe de Armadura 17 (camisão de malha, escudo) Pontos de Vida 65 (10d8 + 20) Deslocamento 9 m FOR 17 (+3) DES 14 (+2) CON 14 (+2) INT 11 (+0) SAB 12 (+1) CAR 11 (+0) Perícias Furtividade +6, Intimidação +2, Sobrevivência +3  Sentidos visão no escuro 18 m, Percepção passiva 11 Idiomas Comum, Goblin",1,200.0," Maça Estrela. Ataque Corpo-a-Corpo com Arma: +4 para atingir, alcance 1,5 m, um alvo. Acerto: 11 (2d8 + 2) de dano perfurante.  Azagaia. Ataque Corpo-a-Corpo ou à Distância com Arma: +4 para atingir, alcance 1,5 m ou distância 9/36 m, um alvo. Acerto: 9 (2d6 + 2) de dano perfurante corpo-a-corpo ou 5 (1d6 +2) de dano perfurante à distância.",11.0
BUGBEAR COMANDANTE,Monstruosidade,Grande,imparcial,94,9d10 + 45,17,12.0,19.0,4.0,11.0,0.0,21.0,5.0,2.0,-4.0,10.0,0.0,5.0,-3.0,"Perícias Percepção +6 Sentidos visão no escuro 18 m, sentido sísmico 18 m,           Percepção passiva 16 Idiomas ",5,1800.0," Mordida. Ataque Corpo-a-Corpo com Arma: +7 para atingir, alcance 1,5 m, um alvo. Acerto: 30 (4d12 + 4) de dano perfurante.  Salto Mortal. Se o bulette pular pelo menos 4,5 metros como parte do seu movimento, ele pode então, usar sua ação para aterrissar em pé num espaço contendo uma ou mais criaturas. Cada uma dessas criaturas deve ser bem sucedida num teste de resistência de Força ou Destreza (à escolha do alvo) CD 16 ou será derrubado no chão e sofrerá 14 (3d6 + 4) de dano de concussão mais 14 (3d6 + 4) de dano cortante.",44.0
BULETTE,Monstruosidade,Grande,imparcial,94,9d10 + 45,17,12.0,19.0,4.0,11.0,0.0,21.0,5.0,2.0,-4.0,10.0,0.0,5.0,-3.0,"Perícias Percepção +6 Sentidos visão no escuro 18 m, sentido sísmico 18 m,           Percepção passiva 16 Idiomas ",5,1800.0," Mordida. Ataque Corpo-a-Corpo com Arma: +7 para atingir, alcance 1,5 m, um alvo. Acerto: 30 (4d12 + 4) de dano perfurante.  Salto Mortal. Se o bulette pular pelo menos 4,5 metros como parte do seu movimento, ele pode então, usar sua ação para aterrissar em pé num espaço contendo uma ou mais criaturas. Cada uma dessas criaturas deve ser bem sucedida num teste de resistência de Força ou Destreza (à escolha do alvo) CD 16 ou será derrubado no chão e sofrerá 14 (3d6 + 4) de dano de concussão mais 14 (3d6 + 4) de dano cortante.",44.0
BULLYWUG,Humanoide,Médio,neutro e mau,11,2d8 + 2,15,6.0,12.0,1.0,12.0,1.0,13.0,1.0,7.0,-2.0,10.0,0.0,7.0,-2.0,Perícias Furtividade +3 Sentidos Percepção passiva 10 Idiomas Bullywug,1/4,50.0," Ataques Múltiplos. O bullywug realiza dois ataques: um com sua mordida e um com sua lança.  Mordida. Ataque Corpo-a-Corpo com Arma: +3 para atingir, alcance 1,5 m, um alvo. Acerto: 3 (1d4 + 1) de dano de concussão.",4.0
CAÇADOR INVISÍVEL,Elemental,Médio,neutro,104,16d8 + 32,14,15.0,16.0,3.0,19.0,4.0,14.0,2.0,10.0,0.0,15.0,2.0,11.0,0.0,"Perícias Furtividade +10, Percepção +8 Resistência a Dano concussão, perfurante e cortante de armas não-mágicas  Imunidade a Dano veneno Imunidade a Condição agarrado, caído, envenenado, exausto, impedido, inconsciente, paralisado  Sentidos visão no escuro 18 m, Percepção passiva 18 Idiomas Auran, compreende Comum mas não pode falar",6,2300.0," Ataques Múltiplos. O caçador realiza dois ataques de pancada.  Pancada. Ataque Corpo-a-Corpo com Arma: +6 para atingir, alcance 1,5 m, um alvo. Acerto: 10 (2d6 + 3) de dano de concussão.",10.0
CAMBION,Corruptor,Médio,qualquer tendência maligna,82,11d8 + 33,19,9.0,18.0,4.0,18.0,4.0,16.0,3.0,14.0,2.0,12.0,1.0,16.0,3.0," Testes de Resistência For +7, Con +6, Int +5, Car +6 Perícias Enganação +6, Furtividade +7, Intimidação +6,       Percepção +4 Resistência a Dano elétrico, fogo, frio, veneno; concussão, cortante e perfurante de armas não-mágicas Sentidos visão no escuro 18 m, Percepção passiva 14 Idiomas Abissal, Comum, Infernal",5,1800.0," Classe de Armadura 19 (brunea) Pontos de Vida 82 (11d8 + 33) Deslocamento 9 m, voo 18 m  Ataques Múltiplos. O cambion realiza dois ataques corpo-a-corpo ou usa seu Raio de Fogo duas vezes.  Lança. Ataque Corpo-a-Corpo com Arma: +7 para atingir, alcance 1,5 m ou distância 6 m/18 m, um alvo. Acerto: 7 (1d6 + 4) de dano perfurante ou 8 (1d8 + 4) de dano perfurante se usado com duas mãos para realizar um ataque corpo-a-corpo, mais 3 (1d6) de dano de fogo.  Raio de Fogo. Ataque à Distância com Magia: +7 para atingir, distância 36 m, um alvo. Acerto: 10 (3d6) de dano de fogo.",13.0
CÃO INFERNAL,Corruptor,Médio,leal e mau,45,7d8 + 14,15,15.0,17.0,3.0,12.0,1.0,14.0,2.0,6.0,-2.0,13.0,1.0,6.0,-2.0,"Perícias Percepção +5 Imunidade a Dano fogo Sentidos visão no escuro 18 m, Percepção passiva 15 Idiomas compreende Infernal mas não pode falar",3,700.0," Mordida. Ataque Corpo-a-Corpo com Arma: +5 para atingir, alcance 1,5 m, um alvo. Acerto: 7 (1d8 + 3) de dano perfurante mais 7 (2d6) de dano de fogo.  Sopro de Fogo (Recarrega 56). O cão expele fogo num cone de 4,5 metros. Cada criatura na área deve realizar um teste de resistência de Destreza CD 12, sofrendo 21 (6d6) de dano de fogo se falhar na resistência, ou metade desse dano se obtiver sucesso.",14.0
CARNIÇAL,Morto-vivo,Médio,caótico e mau,22,5d8,12,9.0,13.0,1.0,15.0,2.0,10.0,0.0,7.0,-2.0,10.0,0.0,6.0,-2.0,"Imunidade a Dano veneno Imunidade a Condição enfeitiçado, envenenado, exausto Sentidos visão no escuro 18 m, Percepção passiva 10 Idiomas Comum Nível de Desafio 1 (200 XP) AÇÕES Mordida. Ataque Corpo-a-Corpo com Arma: +2 para atingir, alcance 1,5 m, uma criatura. Acerto: 9 (2d6 + 2) de dano perfurante.  Garras. Ataque Corpo-a-Corpo com Arma: +4 para atingir, alcance 1,5 m, um alvo. Acerto: 7 (2d4 + 2) de dano cortante. Se o alvo for uma criatura diferente de um elfo ou morto-vivo, ela deve ser bem sucedida num teste de resistência de Constituição CD 10 ou ficará paralisada por 1 minuto. O alvo pode repetir o teste de resistência ao final de cada um dos seus turnos, terminando o efeito sobre si caso obtenha sucesso.                                LÍVIDO Morto-vivo Médio, caótico e mau Classe de Armadura 13 Pontos de Vida 36 (8d8) Deslocamento 9 m FOR 16 (+3) DES 17 (+3) CON 10 (+0) INT 11 (+0) SAB 10 (+0) CAR 8 (1) Resistência a Dano necrótico Imunidade a Dano veneno Imunidade a Condição enfeitiçado, envenenado, exausto Sentidos visão no escuro 18 m, Percepção passiva 10 Idiomas Comum",1,200.0," Mordida. Ataque Corpo-a-Corpo com Arma: +2 para atingir, alcance 1,5 m, uma criatura. Acerto: 9 (2d6 + 2) de dano perfurante.  Garras. Ataque Corpo-a-Corpo com Arma: +4 para atingir, alcance 1,5 m, um alvo. Acerto: 7 (2d4 + 2) de dano cortante.",9.0
LÍVIDO,Morto-vivo,Médio,caótico e mau,22,5d8,12,9.0,13.0,1.0,15.0,2.0,10.0,0.0,7.0,-2.0,10.0,0.0,6.0,-2.0,"Imunidade a Dano veneno Imunidade a Condição enfeitiçado, envenenado, exausto Sentidos visão no escuro 18 m, Percepção passiva 10 Idiomas Comum Nível de Desafio 1 (200 XP) AÇÕES Mordida. Ataque Corpo-a-Corpo com Arma: +2 para atingir, alcance 1,5 m, uma criatura. Acerto: 9 (2d6 + 2) de dano perfurante.  Garras. Ataque Corpo-a-Corpo com Arma: +4 para atingir, alcance 1,5 m, um alvo. Acerto: 7 (2d4 + 2) de dano cortante. Se o alvo for uma criatura diferente de um elfo ou morto-vivo, ela deve ser bem sucedida num teste de resistência de Constituição CD 10 ou ficará paralisada por 1 minuto. O alvo pode repetir o teste de resistência ao final de cada um dos seus turnos, terminando o efeito sobre si caso obtenha sucesso.                                LÍVIDO Morto-vivo Médio, caótico e mau Classe de Armadura 13 Pontos de Vida 36 (8d8) Deslocamento 9 m FOR 16 (+3) DES 17 (+3) CON 10 (+0) INT 11 (+0) SAB 10 (+0) CAR 8 (1) Resistência a Dano necrótico Imunidade a Dano veneno Imunidade a Condição enfeitiçado, envenenado, exausto Sentidos visão no escuro 18 m, Percepção passiva 10 Idiomas Comum",1,200.0," Mordida. Ataque Corpo-a-Corpo com Arma: +2 para atingir, alcance 1,5 m, uma criatura. Acerto: 9 (2d6 + 2) de dano perfurante.  Garras. Ataque Corpo-a-Corpo com Arma: +4 para atingir, alcance 1,5 m, um alvo. Acerto: 7 (2d4 + 2) de dano cortante.",9.0
CAVALEIRO DA MORTE,Morto-vivo,Médio,caótico e mau,180,19d8 + 95,20,9.0,20.0,5.0,11.0,0.0,20.0,5.0,12.0,1.0,16.0,3.0,18.0,4.0," AÇÕES  Ataques Múltiplos. O cavaleiro realiza três ataques com espada longa.  Espada Longa. Ataque Corpo-a-Corpo com Arma: +11 para atingir, alcance 1,5 m, um alvo. Acerto: 9 (1d8 + 5) de dano cortante ou 10 (1d10 + 5) de dano cortante se usada com as duas mãos, mais 18 (4d8) de dano necrótico.  Orbe de Fogo Infernal (1/Dia). O cavaleiro arremessa uma bola de fogo mágico que explode num ponto que ele possa ver, a até 36 metros dele. Cada criatura numa esfera de 6 metros, centrada no ponto, deve realizar um teste de resistência de Destreza. A esfera se espalha, dobrando esquinas. Uma criatura sofre 35 (10d6) de dano de fogo e 35 (10d6) de dano necrótico se falhar  na resistência, ou metade desse dano se obtiver sucesso.  REAÇÕES Testes de Resistência Des +6, Sab +9, Car +10 Imunidade a Dano necrótico, veneno Imunidade a Condição enfeitiçado, envenenado, exausto Sentidos visão no escuro 36 m, Percepção passiva 13 Idiomas Abissal, Comum",17,18000.0,"  Ataques Múltiplos. O cavaleiro realiza três ataques com espada longa.  Espada Longa. Ataque Corpo-a-Corpo com Arma: +11 para atingir, alcance 1,5 m, um alvo. Acerto: 9 (1d8 + 5) de dano cortante ou 10 (1d10 + 5) de dano cortante se usada com as duas mãos, mais 18 (4d8) de dano necrótico.",27.0
CAVEIRA FLAMEJANTE,Morto-vivo,Miúdo,neutro e mau,40,9d4 + 18,13,0.0,1.0,-5.0,17.0,3.0,14.0,2.0,16.0,3.0,10.0,0.0,11.0,0.0," Perícias Arcanismo +5, Percepção +2 Resistência a Dano elétrico, necrótico, perfurante Imunidade a Dano fogo, frio, veneno Imunidade a Condição amedrontado, enfeitiçado, envenenado, exausto Sentidos visão no escuro 18 m, Percepção passiva 12 Idiomas Comum",4,1100.0,"Ataques Múltiplos. A caveira flamejante usa o Raio de Fogo duas vezes. Raio de Fogo. Ataque à Distância com Magia: +5 para atingir, distância 9 m, um alvo. Acerto: 10 (3d6) de dano de fogo.",10.0
