Nome,Tipo,Tamanho,Tendência,PV_médio,PV_dados,CA,Deslocamento,Força,mod_força,Destreza,mod_destreza,Constituição,mod_constituição,Inteligência,mod_inteligência,Sabedoria,mod_sabedoria,Carisma,mod_carisma,Infos,Nível_desafio,XP,Ações,Dano_médio
AZER,Elemental,Médio,leal e neutro Classe de Armadura 17,39,6d8 + 12,17,9 m,17,+3,12,+1,15,+2,12,+1,13,+1,10,+0,"Testes de Resistência Con +4  Imunidade a Dano fogo, veneno Imunidade a Condição envenenado Sentidos Percepção passiva 11 Idiomas Ígneo",2,450," Martelo de Guerra. Ataque Corpo-a-Corpo com Arma: +5 para atingir, alcance 1,5 m, um alvo. Acerto: 7 (1d8 + 3) de dano de concussão ou 8 (1d10 + 3) de dano de concussão se for usado com duas mãos para realizar ataques corpo-a-corpo, mais 3 (1d6) de dano de fogo.",10
BANSHEE,Morto-vivo,Médio,caótico e mau  Toque,58,13d8,12,0 m,1,5,14,+2,10,+0,12,+1,11,+0,17,+3," Testes de Resistência Sab +2, Car +4  Resistência a Dano ácido, elétrico, fogo, frio, trovejante; concussão, perfurante e cortante de armas não-mágicas Imunidade a Condição agarrado, caído, enfeitiçado, envenenado, exausto, impedido, inconsciente, paralisado, petrificado Sentidos visão no escuro 18 m, Percepção passiva 10 Idiomas Comum, Élfico",4,1.100," Morto-vivo Médio, caótico e mau  Toque Corruptor. Ataque Corpo-a-Corpo com Magia: +4 para atingir, alcance 1,5 m, um alvo. Acerto: 12 (3d6 + 2) de dano necrótico.",12
BASILISCO,Monstruosidade,Média,imparcial Classe de Armadura 15,52,8d8 + 16,15,6 m,16,+3,8,1,15,+2,2,4,8,1,7,2,"Sentidos visão no escuro 18 m, Percepção passiva 9 Idiomas ",3,700,"  Mordida. Ataque Corpo-a-Corpo com Arma: +5 para atingir, alcance 1,5 m, um alvo. Acerto: 10 (2d6 + 3) de dano perfurante mais 7 (2d6) de dano de veneno.",17
BEHIR,Monstruosidade,Enorme,neutro e mau Classe de Armadura 17,168,16d12 + 64,17,15 m,23,+6,16,+3,18,+4,7,2,14,+2,12,+1,"Perícias Furtividade +7, Percepção +6 Imunidade a Dano elétrico Sentidos visão no escuro 27 m, Percepção passiva 16 Idiomas Dracônico",11,7.200," Ataques Múltiplos. O behir realiza dois ataques: um com sua mordida e um de constrição.  Mordida. Ataque Corpo-a-Corpo com Arma: +10 para atingir, alcance 3 m, um alvo. Acerto: 22 (3d10 + 6) de dano perfurante.  Constrição. Ataque Corpo-a-Corpo com Arma: +10 para atingir, alcance 1,5 m, uma criatura Grande ou menor. Acerto: 17 (2d10 + 6) de dano de concussão mais 17 (2d10 + 6) de dano cortante.",39
BRUXA DA NOITE,Corruptor,Médio,neutro e mau  Garras,112,15d8 + 45,17,9 m,18,+4,15,+2,16,+3,16,+3,14,+2,16,+3," Perícias Enganação +7, Furtividade +6, Intuição +6, Percepção +6 Resistência a Dano fogo, frio; concussão, perfurante e cortante de armas não-mágicas que não sejam de prata Imunidade a Condição enfeitiçado  Sentidos visão no escuro 36 m, Percepção passiva 16 Idiomas Abissal, Comum, Infernal, Primordial",5,1.800," Corruptor Médio, neutro e mau  Garras (Forma de Bruxa Apenas). Ataque Corpo-a-Corpo com Arma: +6 para atingir, alcance 1,5 m, um alvo. Acerto: 13 (2d8    + 4) de dano cortante.",13
BRUXA DO MAR,Fada,Média,caótico e mau  Classe de Armadura 14,52,7d8 + 21,14,9 m,16,+3,13,+1,16,+3,12,+1,12,+1,13,+1," Garras. Ataque Corpo-a-Corpo com Arma: +5 para atingir, alcance 1,5 m, um alvo. Acerto: 10 (2d6 + 3) de dano cortante.  Olhar Mortal. A bruxa afeta uma criatura amedrontada que ela possa ver, a até 9 metros dela. Se o alvo puder ver a bruxa, ele deve ser bem sucedido num teste de resistência de Sabedoria CD 11 contra essa magia ou cairá a 0 pontos de vida.  Aparência Ilusória. A bruxa encobre a si mesma e a tudo que ela esteja vestindo ou carregando com uma ilusão mágica que faz com que ela se pareça com uma criatura feia de tamanho similar ao seu e de formato humanoide. O efeito termina se a bruxa usar uma ação bônus para termina-lo ou se ela morrer. As mudanças forjadas por esse efeito falham em se manter durante uma inspeção física. Por exemplo, a bruxa pode parecer não possuir garras, mas alguém que toque a mão dela poderá sentir as garras. Do contrário, uma criatura deve realizar uma ação para inspecionar visualmente a ilusão e passar num teste de Inteligência (Investigação) CD 16 para perceber que a bruxa está disfarçada. Sentidos visão no escuro 18 m, Percepção passiva 11 Idiomas Aquan, Comum, Gigante",2,450," Fada Média, caótico e mau  Classe de Armadura 14 (armadura natural) Pontos de Vida 52 (7d8 + 21) Deslocamento 9 m, natação 12 m  FOR 16 (+3) DES 13 (+1) CON 16 (+3) INT 12 (+1) SAB 12 (+1) CAR 13 (+1)  Garras. Ataque Corpo-a-Corpo com Arma: +5 para atingir, alcance 1,5 m, um alvo. Acerto: 10 (2d6 + 3) de dano cortante.",10
BRUXA VERDE,Fada,Média,neutro e mau ,82,11d8 + 33,17,9 m,18,+4,12,+1,16,+3,13,+1,14,+2,14,+2," Perícias Arcanismo +3, Enganação +4, Furtividade +3, Percepção +4  Sentidos visão no escuro 18 m, Percepção passiva 14 Idiomas Comum, Dracônico, Silvestre",3,700," Fada Média, neutro e mau  Garras. Ataque Corpo-a-Corpo com Arma: +6 para atingir, alcance 1,5 m, um alvo. Acerto: 13 (2d8 + 4) de dano cortante.",13
BUGBEAR,Humanoide,Médio,caótico e mau Classe de Armadura 16,27,5d8 + 5,16,9 m,15,+2,14,+2,13,+1,8,1,11,+0,9,1,"Perícias Furtividade +6, Sobrevivência +2  Sentidos visão no escuro 18 m, Percepção passiva 10 Idiomas Comum, Goblin Nível de Desafio 1 (200 XP) Ataque Surpresa. Se o bugbears surpreender uma criatura e atingi-la com um ataque durante a primeira rodada de combate, o alvo sofre 7 (2d6) de dano extra nesse ataque.  Brutamontes. Um ataque corpo-a-corpo com arma causa um dado extra de dano quando o bugbears atinge com ele (incluso no ataque).  AÇÕES Maça Estrela. Ataque Corpo-a-Corpo com Arma: +4 para atingir, alcance 1,5 m, um alvo. Acerto: 11 (2d8 + 2) de dano perfurante.  Azagaia. Ataque Corpo-a-Corpo ou à Distância com Arma: +4 para atingir, alcance 1,5 m ou distância 9/36 m, um alvo. Acerto: 9 (2d6 + 2) de dano perfurante corpo-a-corpo ou 5 (1d6 +2) de dano perfurante à distância.                              BUGBEAR COMANDANTE Humanoide Médio (goblinoide), caótico e mau Classe de Armadura 17 (camisão de malha, escudo) Pontos de Vida 65 (10d8 + 20) Deslocamento 9 m FOR 17 (+3) DES 14 (+2) CON 14 (+2) INT 11 (+0) SAB 12 (+1) CAR 11 (+0) Perícias Furtividade +6, Intimidação +2, Sobrevivência +3  Sentidos visão no escuro 18 m, Percepção passiva 11 Idiomas Comum, Goblin",1,200," Maça Estrela. Ataque Corpo-a-Corpo com Arma: +4 para atingir, alcance 1,5 m, um alvo. Acerto: 11 (2d8 + 2) de dano perfurante.  Azagaia. Ataque Corpo-a-Corpo ou à Distância com Arma: +4 para atingir, alcance 1,5 m ou distância 9/36 m, um alvo. Acerto: 9 (2d6 + 2) de dano perfurante corpo-a-corpo ou 5 (1d6 +2) de dano perfurante à distância.",11
BUGBEAR COMANDANTE,Monstruosidade,Grande,imparcial Classe de Armadura 17,94,9d10 + 45,17,12 m,19,+4,11,+0,21,+5,2,4,10,+0,5,3,"Perícias Percepção +6 Sentidos visão no escuro 18 m, sentido sísmico 18 m,           Percepção passiva 16 Idiomas ",5,1.800," Mordida. Ataque Corpo-a-Corpo com Arma: +7 para atingir, alcance 1,5 m, um alvo. Acerto: 30 (4d12 + 4) de dano perfurante.  Salto Mortal. Se o bulette pular pelo menos 4,5 metros como parte do seu movimento, ele pode então, usar sua ação para aterrissar em pé num espaço contendo uma ou mais criaturas. Cada uma dessas criaturas deve ser bem sucedida num teste de resistência de Força ou Destreza (à escolha do alvo) CD 16 ou será derrubado no chão e sofrerá 14 (3d6 + 4) de dano de concussão mais 14 (3d6 + 4) de dano cortante.",44
BULETTE,Monstruosidade,Grande,imparcial Classe de Armadura 17,94,9d10 + 45,17,12 m,19,+4,11,+0,21,+5,2,4,10,+0,5,3,"Perícias Percepção +6 Sentidos visão no escuro 18 m, sentido sísmico 18 m,           Percepção passiva 16 Idiomas ",5,1.800," Mordida. Ataque Corpo-a-Corpo com Arma: +7 para atingir, alcance 1,5 m, um alvo. Acerto: 30 (4d12 + 4) de dano perfurante.  Salto Mortal. Se o bulette pular pelo menos 4,5 metros como parte do seu movimento, ele pode então, usar sua ação para aterrissar em pé num espaço contendo uma ou mais criaturas. Cada uma dessas criaturas deve ser bem sucedida num teste de resistência de Força ou Destreza (à escolha do alvo) CD 16 ou será derrubado no chão e sofrerá 14 (3d6 + 4) de dano de concussão mais 14 (3d6 + 4) de dano cortante.",44
BULLYWUG,Humanoide,Médio,neutro e mau Classe de Armadura 15,11,2d8 + 2,15,6 m,12,+1,12,+1,13,+1,7,2,10,+0,7,2,Perícias Furtividade +3 Sentidos Percepção passiva 10 Idiomas Bullywug,1/4,50," Ataques Múltiplos. O bullywug realiza dois ataques: um com sua mordida e um com sua lança.  Mordida. Ataque Corpo-a-Corpo com Arma: +3 para atingir, alcance 1,5 m, um alvo. Acerto: 3 (1d4 + 1) de dano de concussão.",4
CAÇADOR INVISÍVEL,Elemental,Médio,neutro Classe de Armadura 14 Pontos de Vida 104,104,16d8 + 32,14,15 m,16,+3,19,+4,14,+2,10,+0,15,+2,11,+0,"Perícias Furtividade +10, Percepção +8 Resistência a Dano concussão, perfurante e cortante de armas não-mágicas  Imunidade a Dano veneno Imunidade a Condição agarrado, caído, envenenado, exausto, impedido, inconsciente, paralisado  Sentidos visão no escuro 18 m, Percepção passiva 18 Idiomas Auran, compreende Comum mas não pode falar",6,2.300," Ataques Múltiplos. O caçador realiza dois ataques de pancada.  Pancada. Ataque Corpo-a-Corpo com Arma: +6 para atingir, alcance 1,5 m, um alvo. Acerto: 10 (2d6 + 3) de dano de concussão.",10
CAMBION,Corruptor,Médio,qualquer tendência maligna  AÇÕES Classe de Armadura 19,82,11d8 + 33,19,9 m,18,+4,18,+4,16,+3,14,+2,12,+1,16,+3," Testes de Resistência For +7, Con +6, Int +5, Car +6 Perícias Enganação +6, Furtividade +7, Intimidação +6,       Percepção +4 Resistência a Dano elétrico, fogo, frio, veneno; concussão, cortante e perfurante de armas não-mágicas Sentidos visão no escuro 18 m, Percepção passiva 14 Idiomas Abissal, Comum, Infernal",5,1.800," Classe de Armadura 19 (brunea) Pontos de Vida 82 (11d8 + 33) Deslocamento 9 m, voo 18 m  Ataques Múltiplos. O cambion realiza dois ataques corpo-a-corpo ou usa seu Raio de Fogo duas vezes.  Lança. Ataque Corpo-a-Corpo com Arma: +7 para atingir, alcance 1,5 m ou distância 6 m/18 m, um alvo. Acerto: 7 (1d6 + 4) de dano perfurante ou 8 (1d8 + 4) de dano perfurante se usado com duas mãos para realizar um ataque corpo-a-corpo, mais 3 (1d6) de dano de fogo.  Raio de Fogo. Ataque à Distância com Magia: +7 para atingir, distância 36 m, um alvo. Acerto: 10 (3d6) de dano de fogo.",13
CÃO INFERNAL,Corruptor,Médio,leal e mau Classe de Armadura 15,45,7d8 + 14,15,15 m,17,+3,12,+1,14,+2,6,2,13,+1,6,2,"Perícias Percepção +5 Imunidade a Dano fogo Sentidos visão no escuro 18 m, Percepção passiva 15 Idiomas compreende Infernal mas não pode falar",3,700," Mordida. Ataque Corpo-a-Corpo com Arma: +5 para atingir, alcance 1,5 m, um alvo. Acerto: 7 (1d8 + 3) de dano perfurante mais 7 (2d6) de dano de fogo.  Sopro de Fogo (Recarrega 56). O cão expele fogo num cone de 4,5 metros. Cada criatura na área deve realizar um teste de resistência de Destreza CD 12, sofrendo 21 (6d6) de dano de fogo se falhar na resistência, ou metade desse dano se obtiver sucesso.",14
CARNIÇAL,Morto-vivo,Médio,caótico e mau Classe de Armadura 12 Pontos de Vida 22,22,5d8,12,9 m,13,+1,15,+2,10,+0,7,2,10,+0,6,2,"Imunidade a Dano veneno Imunidade a Condição enfeitiçado, envenenado, exausto Sentidos visão no escuro 18 m, Percepção passiva 10 Idiomas Comum Nível de Desafio 1 (200 XP) AÇÕES Mordida. Ataque Corpo-a-Corpo com Arma: +2 para atingir, alcance 1,5 m, uma criatura. Acerto: 9 (2d6 + 2) de dano perfurante.  Garras. Ataque Corpo-a-Corpo com Arma: +4 para atingir, alcance 1,5 m, um alvo. Acerto: 7 (2d4 + 2) de dano cortante. Se o alvo for uma criatura diferente de um elfo ou morto-vivo, ela deve ser bem sucedida num teste de resistência de Constituição CD 10 ou ficará paralisada por 1 minuto. O alvo pode repetir o teste de resistência ao final de cada um dos seus turnos, terminando o efeito sobre si caso obtenha sucesso.                                LÍVIDO Morto-vivo Médio, caótico e mau Classe de Armadura 13 Pontos de Vida 36 (8d8) Deslocamento 9 m FOR 16 (+3) DES 17 (+3) CON 10 (+0) INT 11 (+0) SAB 10 (+0) CAR 8 (1) Resistência a Dano necrótico Imunidade a Dano veneno Imunidade a Condição enfeitiçado, envenenado, exausto Sentidos visão no escuro 18 m, Percepção passiva 10 Idiomas Comum",1,200," Mordida. Ataque Corpo-a-Corpo com Arma: +2 para atingir, alcance 1,5 m, uma criatura. Acerto: 9 (2d6 + 2) de dano perfurante.  Garras. Ataque Corpo-a-Corpo com Arma: +4 para atingir, alcance 1,5 m, um alvo. Acerto: 7 (2d4 + 2) de dano cortante.",9
LÍVIDO,Morto-vivo,Médio,caótico e mau Classe de Armadura 12 Pontos de Vida 22,22,5d8,12,9 m,13,+1,15,+2,10,+0,7,2,10,+0,6,2,"Imunidade a Dano veneno Imunidade a Condição enfeitiçado, envenenado, exausto Sentidos visão no escuro 18 m, Percepção passiva 10 Idiomas Comum Nível de Desafio 1 (200 XP) AÇÕES Mordida. Ataque Corpo-a-Corpo com Arma: +2 para atingir, alcance 1,5 m, uma criatura. Acerto: 9 (2d6 + 2) de dano perfurante.  Garras. Ataque Corpo-a-Corpo com Arma: +4 para atingir, alcance 1,5 m, um alvo. Acerto: 7 (2d4 + 2) de dano cortante. Se o alvo for uma criatura diferente de um elfo ou morto-vivo, ela deve ser bem sucedida num teste de resistência de Constituição CD 10 ou ficará paralisada por 1 minuto. O alvo pode repetir o teste de resistência ao final de cada um dos seus turnos, terminando o efeito sobre si caso obtenha sucesso.                                LÍVIDO Morto-vivo Médio, caótico e mau Classe de Armadura 13 Pontos de Vida 36 (8d8) Deslocamento 9 m FOR 16 (+3) DES 17 (+3) CON 10 (+0) INT 11 (+0) SAB 10 (+0) CAR 8 (1) Resistência a Dano necrótico Imunidade a Dano veneno Imunidade a Condição enfeitiçado, envenenado, exausto Sentidos visão no escuro 18 m, Percepção passiva 10 Idiomas Comum",1,200," Mordida. Ataque Corpo-a-Corpo com Arma: +2 para atingir, alcance 1,5 m, uma criatura. Acerto: 9 (2d6 + 2) de dano perfurante.  Garras. Ataque Corpo-a-Corpo com Arma: +4 para atingir, alcance 1,5 m, um alvo. Acerto: 7 (2d4 + 2) de dano cortante.",9
CAVALEIRO DA MORTE,Morto-vivo,Médio,caótico e mau  Classe de Armadura 20,180,19d8 + 95,20,9 m,20,+5,11,+0,20,+5,12,+1,16,+3,18,+4," AÇÕES  Ataques Múltiplos. O cavaleiro realiza três ataques com espada longa.  Espada Longa. Ataque Corpo-a-Corpo com Arma: +11 para atingir, alcance 1,5 m, um alvo. Acerto: 9 (1d8 + 5) de dano cortante ou 10 (1d10 + 5) de dano cortante se usada com as duas mãos, mais 18 (4d8) de dano necrótico.  Orbe de Fogo Infernal (1/Dia). O cavaleiro arremessa uma bola de fogo mágico que explode num ponto que ele possa ver, a até 36 metros dele. Cada criatura numa esfera de 6 metros, centrada no ponto, deve realizar um teste de resistência de Destreza. A esfera se espalha, dobrando esquinas. Uma criatura sofre 35 (10d6) de dano de fogo e 35 (10d6) de dano necrótico se falhar  na resistência, ou metade desse dano se obtiver sucesso.  REAÇÕES Testes de Resistência Des +6, Sab +9, Car +10 Imunidade a Dano necrótico, veneno Imunidade a Condição enfeitiçado, envenenado, exausto Sentidos visão no escuro 36 m, Percepção passiva 13 Idiomas Abissal, Comum",17,18.000,"  Ataques Múltiplos. O cavaleiro realiza três ataques com espada longa.  Espada Longa. Ataque Corpo-a-Corpo com Arma: +11 para atingir, alcance 1,5 m, um alvo. Acerto: 9 (1d8 + 5) de dano cortante ou 10 (1d10 + 5) de dano cortante se usada com as duas mãos, mais 18 (4d8) de dano necrótico.",27
CAVEIRA FLAMEJANTE,Morto-vivo,Miúdo,neutro e mau  Classe de Armadura 13 Pontos de Vida 40,40,9d4 + 18,13,0 m,1,5,17,+3,14,+2,16,+3,10,+0,11,+0," Perícias Arcanismo +5, Percepção +2 Resistência a Dano elétrico, necrótico, perfurante Imunidade a Dano fogo, frio, veneno Imunidade a Condição amedrontado, enfeitiçado, envenenado, exausto Sentidos visão no escuro 18 m, Percepção passiva 12 Idiomas Comum",4,1.100,,10
CENTAURO,Monstruosidade,Grande,neutro e bom Classe de Armadura 12 Pontos de Vida 45,45,6d10 + 12,12,15 m,18,+4,14,+2,14,+2,9,1,13,+1,11,+0,"Perícias Atletismo +6, Percepção +3, Sobrevivência +3 Sentidos Percepção passiva 13 Idiomas Élfico, Silvestre",2,450," Ataques Múltiplos. O centauro realiza dois ataques: um com sua lança montada e outro com seus cascos ou dois com o arco longo.  Lança Montada. Ataque Corpo-a-Corpo com Arma: +6 para atingir, alcance 3 m, um alvo. Acerto: 9 (1d10 + 4) de dano perfurante.   Cascos. Ataque Corpo-a-Corpo com Arma: +6 para atingir, alcance 1,5 m, um alvo. Acerto: 11 (2d6 + 4) de dano de concussão.   Arco Longo. Ataque à Distância com Arma: +4 para atingir, distância 45/180 m, um alvo. Acerto: 6 (1d8 + 2) de dano perfurante.",11
CHUUL,Aberração,Grande,caótico e mau Classe de Armadura 16,93,11d10 + 33,16,9 m,19,+4,10,+0,16,+3,5,3,11,+0,5,3,"Perícias Percepção +4 Imunidade a Dano veneno Imunidade a Condição envenenado Sentidos visão no escuro 18 m, Percepção passiva 14 Idiomas compreendem Dialeto Subterrâneo, mas não podem falar",4,1.100," Ataques Múltiplos. O chuul realiza dois ataques de pinça. Se o chuul estiver agarrando uma criatura, ele também pode usar seus tentáculos uma vez.  Pinças. Ataque Corpo-a-Corpo com Arma: +6 para atingir, alcance 3 m, um alvo. Acerto: 11 (2d6 + 4) de dano de concussão.",11
CICLOPE,Gigante,Enorme,caótico e neutro Classe de Armadura 14,138,12d12 + 60,14,9 m,22,+6,11,+0,20,+5,8,1,6,2,10,+0,Sentidos Percepção passiva 8 Idiomas Gigante,6,2.300," Ataques Múltiplos. O ciclope realiza dois ataques com clava grande.  Clava Grande. Ataque Corpo-a-Corpo com Arma: +9 para atingir, alcance 3 m, um alvo. Acerto: 19 (3d8 + 6) de dano de concussão.  Rocha. Ataque à Distância com Arma: +9 para atingir, distância 9/36 m, um alvo. Acerto: 28 (4d10 + 6) de dano de concussão.",28
COCATRIZ,Monstruosidade,Pequena,imparcial Classe de Armadura 11 Pontos de Vida 27,27,6d6 + 6,11,6 m,6,2,12,+1,12,+1,2,4,13,+1,5,3,"Sentidos visão no escuro 18 m, Percepção passiva 11 Idiomas ",1/2,100,,3
COUATL,Celestial,Médio,leal e bom Classe de Armadura 19,97,13d8 + 39,19,9 m,16,+3,20,+5,17,+3,18,+4,20,+5,18,+4,"Testes de Resistência Con +5, Sab +7, Car +6 Resistência a Dano radiante Imunidade a Dano psíquico; concussão, cortante e perfurante de armas não-mágicas Sentidos visão verdadeira 36 m, Percepção passiva 15 Idiomas todos, telepatia 36 m",4,1.100,,10
